target,target_label,prediction,prediction_label,count
2780,榛,2764,楱,49
656,口,999,囗,48
6397,锉,4016,矬,48
7033,鸣,739,呜,45
5677,诸,3190,渚,41
660,叨,678,叼,40
480,刺,490,剌,36
1370,子,1371,孑,36
5620,讽,3001,沨,34
7029,鸟,52,乌,34
5649,诛,3064,洙,33
3970,睛,2485,晴,32
2235,掰,2290,搿,30
5595,计,2947,汁,30
1621,巳,1620,已,29
576,千,1667,干,28
2512,曰,2418,日,28
3481,父,2352,攵,28
5372,蜓,5371,蜒,28
5700,谐,3216,湝,28
1184,士,598,卤,27
1620,已,1619,己,27
2418,日,2512,曰,27
5666,语,3116,浯,27
5674,诵,3125,涌,26
5680,读,3184,渎,26
5732,谱,3315,潽,26
1619,己,1620,已,25
5671,诲,3118,海,25
5703,谓,3199,渭,25
5719,谤,3250,滂,25
1210,夭,1206,天,24
3062,洒,6201,酒,24
3864,瘦,3853,瘐,24
5652,诞,3126,涎,24
5656,询,3079,洵,24
5728,谭,3307,潭,24
2949,汆,2945,氽,23
5651,话,3082,活,23
5524,裸,4158,祼,22
5628,诅,3006,沮,22
5691,谆,3175,淳,22
5828,赢,5445,蠃,22
4264,竞,4265,竟,21
5639,译,3053,泽,21
5697,谍,3198,渫,21
5731,谰,3322,澜,21
5828,赢,1367,嬴,21
2908,毫,106,亳,20
5724,谩,3288,漫,20
7030,鸠,7038,鸩,20
739,呜,7033,鸣,19
1185,壬,3608,王,19
2074,扶,2083,抉,19
4265,竟,4264,竞,19
4296,第,4295,笫,19
4747,育,4727,肓,19
4947,芒,4952,芝,19
51,之,6021,辶,18
5483,袄,4134,祆,18
5676,请,3180,清,18
5686,谁,3173,淮,18
60,乖,61,乘,17
415,冶,3012,治,17
2083,抉,2074,扶,17
3099,浑,5662,诨,17
3104,浙,3155,淅,17
3180,清,5676,请,17
3884,癞,3886,癫,17
4338,算,4332,箅,17
5596,订,2946,汀,17
5618,论,2999,沦,17
5621,设,2995,没,17
5660,详,3058,洋,17
99,亨,101,享,16
1620,已,1621,巳,16
1796,徘,4529,绯,16
1857,思,1888,恩,16
2946,汀,5596,订,16
3063,洗,418,冼,16
3126,涎,5652,诞,16
4411,粱,2695,梁,16
4775,胧,2461,昽,16
5388,蜻,5409,蝽,16
5693,谈,3168,淡,16
6576,陈,6564,阵,16
15,且,2419,旦,15
279,倍,262,信,15
449,刁,448,刀,15
1456,寸,2053,扌,15
1797,徙,1793,徒,15
2370,敞,2369,敝,15
2956,汕,5604,讪,15
3082,活,5651,话,15
3083,洼,5644,诖,15
3191,渝,5705,谕,15
3623,玫,3616,玟,15
4725,肋,523,助,15
5608,讯,2958,汛,15
5633,诋,3031,泜,15
54,乎,2052,手,14
192,住,6615,隹,14
1144,堤,2249,提,14
1888,恩,1857,思,14
2485,晴,3970,睛,14
2496,暖,2499,暧,14
2536,未,2537,末,14
3113,浩,5669,诰,14
3909,盂,1382,孟,14
4996,苟,4992,苘,14
5702,谒,3202,渴,14
6368,铬,6369,铭,14
6423,锤,6444,锺,14
6721,顽,6727,颃,14
57,乒,380,兵,13
129,仕,151,任,13
433,凤,6760,风,13
1027,土,598,卤,13
1807,徽,1803,微,13
2967,汩,2966,汨,13
3009,河,5626,诃,13
3935,盹,4742,肫,13
4744,肮,2524,朊,13
5042,茶,5082,荼,13
5106,获,5081,荻,13
6025,迁,6026,迂,13
252,俏,284,倘,12
352,儿,431,几,12
999,囗,656,口,12
1048,坎,1056,坝,12
1742,弛,6836,驰,12
2105,抵,2076,扺,12
2484,晳,3902,皙,12
2642,栋,2644,栎,12
2945,氽,2949,汆,12
2958,汛,5608,讯,12
2987,沐,3005,沭,12
3055,洁,5646,诘,12
3125,涌,5674,诵,12
3175,淳,5691,谆,12
3284,漠,5714,谟,12
3623,玫,3612,玖,12
3814,疽,3811,疸,12
5041,茵,5118,菌,12
5145,萎,5186,蒌,12
5249,蕴,5247,蕰,12
5605,讫,2955,汔,12
6213,酪,6212,酩,12
6237,醒,6219,酲,12
6307,钩,6305,钧,12
6743,颖,6737,颍,12
52,乌,7029,鸟,11
152,份,172,伤,11
578,升,1727,开,11
807,哗,805,哔,11
1905,悄,1941,惝,11
2128,拗,1069,坳,11
2894,毋,2895,母,11
2947,汁,5595,计,11
3014,沽,5625,诂,11
3039,泪,2966,汨,11
3123,消,3159,淌,11
3199,渭,5703,谓,11
3902,皙,2484,晳,11
4517,绢,3128,涓,11
5106,获,5107,莸,11
5199,蒽,5179,葸,11
6032,运,6040,远,11
6040,远,6032,运,11
6085,逢,6064,逄,11
162,休,195,体,10
246,便,221,使,10
355,元,2416,无,10
396,冒,2441,昌,10
423,凇,3166,淞,10
431,几,352,儿,10
557,匕,3,七,10
1045,坊,1032,圬,10
1277,姐,1270,妲,10
1562,峰,1549,峄,10
1784,径,4499,经,10
2352,攵,1191,夂,10
2423,旬,658,句,10
2466,晌,798,响,10
2581,构,2607,枸,10
2624,柠,2140,拧,10
2650,栗,4405,粟,10
2957,汗,5600,讦,10
2962,江,2950,汇,10
2966,汨,2967,汩,10
2977,沁,3022,泌,10
2997,沤,5612,讴,10
3006,沮,5628,诅,10
3288,漫,5724,谩,10
3322,澜,5731,谰,10
3932,盲,4727,肓,10
4001,瞳,2505,曈,10
4146,祟,1567,崇,10
4434,糵,5282,蘖,10
4436,系,4435,糸,10
4815,脸,3968,睑,10
4854,膛,3992,瞠,10
5019,茉,5038,茱,10
5096,莨,5029,茛,10
5258,薛,5259,薜,10
5550,西,6193,酉,10
5736,谵,3329,澹,10
5864,跌,5856,趺,10
6017,辩,6018,辫,10
6026,迂,6025,迁,10
6399,锋,6343,铎,10
102,京,101,享,9
418,冼,3063,洗,9
539,勒,543,勤,9
547,勺,1197,夕,9
639,叁,640,参,9
719,吹,735,呗,9
777,咪,746,味,9
1184,士,1027,土,9
1349,嫒,1338,媛,9
1709,庾,1712,廋,9
1934,惊,1933,惇,9
1988,慨,2770,概,9
2017,戌,2018,戍,9
2141,拨,2126,拔,9
2423,旬,3755,甸,9
2537,末,2536,未,9
2693,桶,2186,捅,9
2962,江,5601,讧,9
3063,洗,5650,诜,9
3118,海,5671,诲,9
3172,淬,5692,谇,9
3173,淮,5686,谁,9
3275,滴,5725,谪,9
3307,潭,5728,谭,9
3585,猬,3560,狷,9
3608,王,86,五,9
3789,疗,3787,疔,9
3825,痒,3847,瘁,9
3853,瘐,3864,瘦,9
3989,瞑,2498,暝,9
4008,矛,76,予,9
4137,祎,5485,袆,9
4405,粟,2650,栗,9
4524,绩,4556,缋,9
4741,肪,4734,肟,9
4754,肿,4757,胂,9
4961,芫,4951,芜,9
4996,苟,5047,荀,9
5029,茛,5096,莨,9
5123,菜,5101,莱,9
5282,蘖,4434,糵,9
5395,蝎,5447,蠋,9
5681,诼,3152,涿,9
5706,谖,3221,湲,9
5714,谟,3284,漠,9
5787,贷,5771,货,9
6018,辫,6017,辩,9
6054,述,6073,逑,9
6874,骛,7082,鹜,9
7106,麇,7108,麋,9
82,亏,1738,弓,8
118,仅,646,反,8
164,优,160,伏,8
199,余,198,佘,8
262,信,279,倍,8
323,傈,344,僳,8
469,刨,465,创,8
604,卯,609,卵,8
758,咋,2453,昨,8
842,唧,877,啷,8
929,嗦,913,嗉,8
1075,垃,2118,拉,8
1208,夫,1209,夬,8
1228,奏,4189,秦,8
1426,宫,1411,官,8
1807,徽,1804,徵,8
1970,感,1936,惑,8
2098,抢,2097,抡,8
2183,挽,2199,换,8
2436,昂,2457,昴,8
2451,春,4885,舂,8
2499,暧,2496,暖,8
2542,朴,2056,扑,8
2550,杈,2548,权,8
2585,析,2092,折,8
2628,柬,2561,束,8
2667,桃,2162,挑,8
2772,榆,2243,揄,8
2803,槽,4430,糟,8
2921,氓,3042,泯,8
3058,洋,5660,详,8
3151,涸,3057,洇,8
3156,淆,3108,浠,8
3159,淌,3123,消,8
3481,父,1191,夂,8
3583,猪,3570,猎,8
3956,眯,2452,昧,8
3972,睢,6628,雎,8
4262,竖,1053,坚,8
4470,纱,2991,沙,8
4559,缎,6445,锻,8
4566,编,309,偏,8
4588,缭,3306,潦,8
4675,耍,5551,要,8
4735,肠,2432,旸,8
4740,肩,2046,扃,8
4741,肪,4732,肜,8
4769,胜,4808,脞,8
4856,膝,3259,滕,8
5052,草,5141,萆,8
5118,菌,5041,茵,8
5485,袆,4137,祎,8
5561,觉,367,党,8
5615,讷,2969,汭,8
5662,诨,3099,浑,8
5675,诶,3131,涘,8
5690,谅,5691,谆,8
5735,谴,6110,遣,8
5797,赁,435,凭,8
6101,遏,6099,遇,8
6201,酒,3062,洒,8
6212,酩,6213,酪,8
6508,闭,6513,闲,8
6520,闹,6512,闱,8
6760,风,392,冈,8
7108,麋,7106,麇,8
50,义,45,乂,7
58,乓,380,兵,7
79,二,92,亠,7
221,使,246,便,7
416,冷,3033,泠,7
438,凳,3889,登,7
465,创,469,刨,7
490,剌,480,刺,7
678,叼,660,叨,7
682,各,688,名,7
1003,回,1001,四,7
1012,囱,1004,囟,7
1155,塔,2286,搭,7
1371,孑,1370,子,7
1375,字,1402,宇,7
1382,孟,3909,盂,7
1467,小,1809,忄,7
1471,尖,1472,尘,7
1476,尢,1477,尤,7
1557,峦,1875,恋,7
1568,崎,1552,峙,7
1726,廿,3736,甘,7
1796,徘,272,俳,7
1968,愕,1972,愣,7
2018,戍,2017,戌,7
2086,抒,2577,杼,7
2104,抱,2098,抢,7
2135,拢,2072,扰,7
2152,拼,2652,栟,7
2194,捐,2251,揖,7
2201,捧,2719,棒,7
2380,文,2352,攵,7
2457,昴,2436,昂,7
2468,晒,791,哂,7
2483,晰,823,哳,7
2494,暌,3980,睽,7
2522,月,2418,日,7
2591,枝,2080,技,7
2612,柏,2680,桕,7
2616,染,2695,梁,7
2626,查,2573,杳,7
2645,栏,2139,拦,7
2666,桂,2157,挂,7
2684,档,2170,挡,7
2809,模,2305,摸,7
