target,target_label,prediction,prediction_label,count
656,口,999,囗,68
660,叨,678,叼,49
5649,诛,3064,洙,49
3104,浙,3155,淅,48
1184,士,598,卤,44
5828,赢,5445,蠃,44
480,刺,490,剌,42
3864,瘦,3853,瘐,42
5677,诸,3190,渚,42
1027,土,598,卤,41
1370,子,1371,孑,41
5524,裸,4158,祼,41
1829,快,1849,怏,38
5680,读,3184,渎,38
3481,父,2352,攵,35
5666,语,3116,浯,35
3623,玫,3616,玟,33
5483,袄,4134,祆,33
5719,谤,3250,滂,33
6397,锉,4016,矬,33
1621,巳,1620,已,32
2780,榛,2764,楱,32
5620,讽,3001,沨,32
5697,谍,3198,渫,32
2496,暖,2499,暧,31
4747,育,4727,肓,31
7033,鸣,739,呜,31
3970,睛,2485,晴,30
5595,计,2947,汁,30
5700,谐,3216,湝,30
7030,鸠,7038,鸩,30
2512,曰,2418,日,29
739,呜,7033,鸣,28
1619,己,1620,已,28
1620,已,1619,己,28
51,之,6021,辶,27
576,千,1667,干,27
1456,寸,2053,扌,27
3021,泊,3060,洎,27
3055,洁,5646,诘,27
5145,萎,5186,蒌,27
5249,蕴,5247,蕰,27
5671,诲,3118,海,27
2235,掰,2290,搿,26
3099,浑,5662,诨,26
5372,蜓,5371,蜒,26
5674,诵,3125,涌,26
2957,汗,5600,讦,25
3063,洗,418,冼,25
1210,夭,1206,天,24
3447,熄,3453,熜,24
3935,盹,4742,肫,24
4338,算,4332,箅,24
5651,话,3082,活,24
5656,询,3079,洵,24
52,乌,7029,鸟,23
199,余,198,佘,23
2418,日,2512,曰,23
2962,江,5601,讧,23
3009,河,5626,诃,23
3113,浩,5669,诰,23
1857,思,1888,恩,22
2946,汀,5596,订,22
3083,洼,5644,诖,22
3172,淬,5692,谇,22
4264,竞,4265,竟,22
5652,诞,3126,涎,22
5731,谰,3322,澜,22
2949,汆,2945,氽,21
2956,汕,5604,讪,21
3014,沽,5625,诂,21
3063,洗,5650,诜,21
3275,滴,5725,谪,21
4296,第,4295,笫,21
5596,订,2946,汀,21
5621,设,2995,没,21
5703,谓,3199,渭,21
5732,谱,3315,潽,21
6085,逢,6064,逄,21
192,住,6615,隹,20
2105,抵,2076,扺,20
2423,旬,3755,甸,20
2908,毫,106,亳,20
5693,谈,3168,淡,20
5728,谭,3307,潭,20
5828,赢,1367,嬴,20
6213,酪,6212,酩,20
1045,坊,1032,圬,19
1277,姐,1270,妲,19
2074,扶,2083,抉,19
2612,柏,2680,桕,19
3013,沼,5637,诏,19
3062,洒,6201,酒,19
3191,渝,5705,谕,19
4436,系,4435,糸,19
4769,胜,4808,脞,19
5691,谆,3175,淳,19
5724,谩,3288,漫,19
1144,堤,2249,提,18
2987,沐,3005,沭,18
2997,沤,5612,讴,18
3476,爪,3717,瓜,18
4754,肿,4757,胂,18
4947,芒,4952,芝,18
5042,茶,5082,荼,18
6423,锤,6444,锺,18
1185,壬,3608,王,17
1905,悄,1941,惝,17
2177,挪,2262,揶,17
2581,构,2607,枸,17
2947,汁,5595,计,17
2958,汛,5608,讯,17
3082,活,5651,话,17
3902,皙,2484,晳,17
4744,肮,2524,朊,17
5106,获,5107,莸,17
5605,讫,2955,汔,17
5628,诅,3006,沮,17
5660,详,3058,洋,17
5676,请,3180,清,17
7029,鸟,52,乌,17
415,冶,3012,治,16
2650,栗,4405,粟,16
3180,清,5676,请,16
3284,漠,5714,谟,16
3884,癞,3886,癫,16
4996,苟,4992,苘,16
5618,论,2999,沦,16
6305,钧,6307,钩,16
6399,锋,6343,铎,16
6576,陈,6564,阵,16
6743,颖,6737,颍,16
60,乖,61,乘,15
323,傈,344,僳,15
2485,晴,3970,睛,15
2695,梁,4411,粱,15
3118,海,5671,诲,15
3123,消,3159,淌,15
3123,消,5667,诮,15
3125,涌,5674,诵,15
3214,湛,5696,谌,15
3814,疽,3811,疸,15
3832,痢,3852,瘌,15
4001,瞳,2505,曈,15
4265,竟,4264,竞,15
4411,粱,2695,梁,15
4725,肋,523,助,15
4735,肠,2432,旸,15
5258,薛,5259,薜,15
5686,谁,3173,淮,15
54,乎,2052,手,14
57,乒,380,兵,14
99,亨,101,享,14
449,刁,448,刀,14
549,勿,552,匆,14
719,吹,735,呗,14
807,哗,805,哔,14
1048,坎,1056,坝,14
1796,徘,4529,绯,14
2370,敞,2369,敝,14
2453,昨,4766,胙,14
2536,未,2537,末,14
2564,来,4677,耒,14
2967,汩,2966,汨,14
3175,淳,5691,谆,14
3199,渭,5703,谓,14
3909,盂,1382,孟,14
4517,绢,3128,涓,14
4741,肪,4734,肟,14
5052,草,5141,萆,14
5511,裕,5500,袷,14
5639,译,3053,泽,14
5702,谒,3202,渴,14
6018,辫,6017,辩,14
6025,迁,6026,迂,14
6201,酒,3062,洒,14
152,份,172,伤,13
416,冷,3033,泠,13
578,升,1727,开,13
604,卯,609,卵,13
1208,夫,1209,夬,13
1278,姑,1287,姞,13
2484,晳,3902,皙,13
2537,末,2536,未,13
3039,泪,2966,汨,13
3151,涸,3057,洇,13
4740,肩,2046,扃,13
4775,胧,2461,昽,13
4951,芜,4961,芫,13
5106,获,5081,荻,13
5388,蜻,5409,蝽,13
5608,讯,2958,汛,13
6026,迂,6025,迁,13
6237,醒,6219,酲,13
6404,锐,6460,镋,13
15,且,2419,旦,12
162,休,195,体,12
252,俏,284,倘,12
352,儿,431,几,12
423,凇,3166,淞,12
539,勒,543,勤,12
1742,弛,6836,驰,12
1807,徽,1803,微,12
2083,抉,2074,扶,12
2436,昂,2457,昴,12
2642,栋,2644,栎,12
2962,江,2950,汇,12
3161,淑,3226,溆,12
3972,睢,6628,雎,12
4146,祟,1567,崇,12
4313,答,4288,笞,12
4644,翁,4650,翕,12
4815,脸,3968,睑,12
5034,茫,5039,茳,12
5041,茵,5118,菌,12
5558,视,4144,祝,12
5681,诼,3152,涿,12
5864,跌,5856,趺,12
5979,轻,5982,轾,12
6054,述,6073,逑,12
6071,透,6091,逶,12
7057,鸽,7045,鸰,12
118,仅,646,反,11
129,仕,151,任,11
279,倍,262,信,11
370,入,372,八,11
396,冒,2441,昌,11
1807,徽,1804,徵,11
1934,惊,1933,惇,11
2217,掌,3497,牚,11
2451,春,4885,舂,11
2693,桶,2694,桷,11
2818,橇,2321,撬,11
2945,氽,2949,汆,11
3012,治,5640,诒,11
3035,波,5638,诐,11
3126,涎,5652,诞,11
3159,淌,3123,消,11
3173,淮,5686,谁,11
3623,玫,3612,玖,11
3821,痈,3839,痫,11
3930,盯,3756,町,11
4775,胧,3954,眬,11
4816,脾,3974,睥,11
5019,茉,5038,茱,11
5333,蛀,5352,蛭,11
5550,西,6193,酉,11
5561,觉,367,党,11
5633,诋,3031,泜,11
6105,道,6104,遒,11
701,吟,741,呤,10
842,唧,877,啷,10
1349,嫒,1338,媛,10
1375,字,1402,宇,10
1562,峰,1549,峄,10
1784,径,4499,经,10
1797,徙,1793,徒,10
1888,恩,1857,思,10
1942,惟,1651,帷,10
1970,感,1936,惑,10
2082,抄,2568,杪,10
2494,暌,3980,睽,10
2693,桶,2186,捅,10
2894,毋,2895,母,10
3235,溢,5720,谥,10
3623,玫,2355,改,10
3798,疤,3806,疱,10
4024,矾,4039,砜,10
4310,筐,4344,箧,10
4498,绎,4510,绛,10
4524,绩,4556,缋,10
4545,绿,3182,渌,10
4733,肝,2427,旰,10
4950,芙,5059,荚,10
5029,茛,5096,莨,10
5101,莱,5123,菜,10
5258,薛,5272,藓,10
5395,蝎,5447,蠋,10
5462,衔,5463,街,10
5560,览,4285,笕,10
5668,误,3160,淏,10
5736,谵,3329,澹,10
6148,邻,6159,郐,10
67,习,1757,彐,9
146,仲,183,伸,9
262,信,279,倍,9
