target,target_label,prediction,prediction_label,count
656,口,999,囗,52
1370,子,1371,孑,45
3970,睛,2485,晴,35
2512,曰,2418,日,33
7033,鸣,739,呜,32
3481,父,2352,攵,31
5677,诸,3190,渚,30
480,刺,490,剌,29
576,千,1667,干,28
3083,洼,5644,诖,28
4996,苟,4992,苘,28
3864,瘦,3853,瘐,27
5719,谤,3250,滂,27
1619,己,1620,已,26
1620,已,1619,己,26
3623,玫,3616,玟,26
5666,语,3116,浯,26
5680,读,3184,渎,26
5693,谈,3168,淡,26
51,之,6021,辶,24
660,叨,678,叼,24
2418,日,2512,曰,24
5700,谐,3216,湝,24
5732,谱,3315,潽,24
1210,夭,1206,天,23
2780,榛,2764,楱,23
5697,谍,3198,渫,23
1621,巳,1620,已,22
2949,汆,2945,氽,22
3055,洁,5646,诘,22
4265,竟,4264,竞,22
5524,裸,4158,祼,22
5595,计,2947,汁,22
5620,讽,3001,沨,22
5649,诛,3064,洙,22
5656,询,3079,洵,22
1620,已,1621,巳,21
2987,沐,3005,沭,21
3099,浑,5662,诨,21
3275,滴,5725,谪,21
4747,育,4727,肓,21
5671,诲,3118,海,21
1144,堤,2249,提,20
2947,汁,5595,计,20
3082,活,5651,话,20
3113,浩,5669,诰,20
3284,漠,5714,谟,20
5106,获,5107,莸,20
7029,鸟,52,乌,20
2946,汀,5596,订,19
3902,皙,2484,晳,19
5483,袄,4134,祆,19
5639,译,3053,泽,19
5651,话,3082,活,19
54,乎,2052,手,18
2496,暖,2499,暧,18
2956,汕,5604,讪,18
3012,治,5640,诒,18
3013,沼,5637,诏,18
3014,沽,5625,诂,18
3063,洗,418,冼,18
4947,芒,4952,芝,18
5691,谆,3175,淳,18
5728,谭,3307,潭,18
6397,锉,4016,矬,18
1796,徘,4529,绯,17
1829,快,1849,怏,17
2074,扶,2083,抉,17
2536,未,2537,末,17
2962,江,5601,讧,17
3288,漫,5724,谩,17
4411,粱,2695,梁,17
5674,诵,3125,涌,17
5703,谓,3199,渭,17
6085,逢,6064,逄,17
6576,陈,6564,阵,17
1045,坊,1032,圬,16
1456,寸,2053,扌,16
2908,毫,106,亳,16
2997,沤,5612,讴,16
3009,河,5626,诃,16
3118,海,5671,诲,16
3180,清,5676,请,16
3191,渝,5705,谕,16
3199,渭,5703,谓,16
4001,瞳,2505,曈,16
4436,系,4435,糸,16
5034,茫,5039,茳,16
5676,请,3180,清,16
5686,谁,3173,淮,16
5724,谩,3288,漫,16
99,亨,101,享,15
449,刁,448,刀,15
1184,士,598,卤,15
1888,恩,1857,思,15
2957,汗,5600,讦,15
2999,沦,5618,论,15
3039,泪,2966,汨,15
3066,洛,3081,洺,15
3175,淳,5691,谆,15
3235,溢,5720,谥,15
4725,肋,523,助,15
5596,订,2946,汀,15
5621,设,2995,没,15
5628,诅,3006,沮,15
5652,诞,3126,涎,15
60,乖,61,乘,14
807,哗,805,哔,14
1185,壬,3608,王,14
2141,拨,2126,拔,14
2958,汛,5608,讯,14
3006,沮,5628,诅,14
3126,涎,5652,诞,14
3935,盹,4742,肫,14
4264,竞,4265,竟,14
5199,蒽,5179,葸,14
415,冶,3012,治,13
719,吹,735,呗,13
842,唧,877,啷,13
1027,土,598,卤,13
2370,敞,2369,敝,13
2466,晌,798,响,13
2894,毋,2895,母,13
3104,浙,3155,淅,13
3125,涌,5674,诵,13
3214,湛,5696,谌,13
3623,玫,3612,玖,13
4296,第,4295,笫,13
5618,论,2999,沦,13
5660,详,3058,洋,13
