target,target_label,prediction,prediction_label,count
656,口,999,囗,58
1370,子,1371,孑,52
2780,榛,2764,楱,44
5620,讽,3001,沨,44
5677,诸,3190,渚,44
5700,谐,3216,湝,43
5483,袄,4134,祆,42
5666,语,3116,浯,41
3481,父,2352,攵,39
3970,睛,2485,晴,38
5680,读,3184,渎,38
3063,洗,418,冼,37
3623,玫,3616,玟,37
1829,快,1849,怏,36
2496,暖,2499,暧,36
480,刺,490,剌,35
51,之,6021,辶,34
5524,裸,4158,祼,34
5649,诛,3064,洙,32
5656,询,3079,洵,32
5697,谍,3198,渫,32
5719,谤,3250,滂,32
5732,谱,3315,潽,32
7030,鸠,7038,鸩,32
2512,曰,2418,日,31
3113,浩,5669,诰,31
3864,瘦,3853,瘐,31
1619,己,1620,已,30
2956,汕,5604,讪,30
2957,汗,5600,讦,30
6397,锉,4016,矬,30
2962,江,5601,讧,29
3275,滴,5725,谪,29
4996,苟,4992,苘,29
3083,洼,5644,诖,28
2987,沐,3005,沭,27
3055,洁,5646,诘,27
3099,浑,5662,诨,27
3191,渝,5705,谕,27
5106,获,5107,莸,27
1184,士,598,卤,26
3014,沽,5625,诂,26
4001,瞳,2505,曈,26
4747,育,4727,肓,26
660,叨,678,叼,25
3009,河,5626,诃,25
576,千,1667,干,24
4744,肮,2524,朊,24
4947,芒,4952,芝,24
416,冷,3033,泠,23
1210,夭,1206,天,23
4436,系,4435,糸,23
1456,寸,2053,扌,22
3012,治,5640,诒,22
3013,沼,5637,诏,22
3284,漠,5714,谟,22
4411,粱,2695,梁,22
5605,讫,2955,汔,22
5671,诲,3118,海,22
807,哗,805,哔,21
1621,巳,1620,已,21
2105,抵,2076,扺,21
2949,汆,2945,氽,21
3035,波,5638,诐,21
5595,计,2947,汁,21
2418,日,2512,曰,20
2436,昂,2457,昴,20
2946,汀,5596,订,20
5651,话,3082,活,20
5686,谁,3173,淮,20
5703,谓,3199,渭,20
54,乎,2052,手,19
1045,坊,1032,圬,19
1620,已,1619,己,19
1796,徘,4529,绯,19
2235,掰,2290,搿,19
3039,泪,2966,汨,19
3235,溢,5720,谥,19
4265,竟,4264,竞,19
5249,蕴,5247,蕰,19
5864,跌,5856,趺,19
6085,逢,6064,逄,19
6213,酪,6212,酩,19
7033,鸣,739,呜,19
842,唧,877,啷,18
1185,壬,3608,王,18
2626,查,2573,杳,18
2958,汛,5608,讯,18
3021,泊,3060,洎,18
3104,浙,3155,淅,18
3789,疗,3787,疔,18
5652,诞,3126,涎,18
5676,请,3180,清,18
5728,谭,3307,潭,18
7029,鸟,52,乌,18
739,呜,7033,鸣,17
1208,夫,1209,夬,17
1277,姐,1270,妲,17
1620,已,1621,巳,17
2908,毫,106,亳,17
2975,汽,2955,汔,17
3082,活,5651,话,17
3172,淬,5692,谇,17
3214,湛,5696,谌,17
4725,肋,523,助,17
6576,陈,6564,阵,17
99,亨,101,享,16
415,冶,3012,治,16
2947,汁,5595,计,16
2997,沤,5612,讴,16
3123,消,5667,诮,16
3151,涸,3057,洇,16
3199,渭,5703,谓,16
3902,皙,2484,晳,16
4296,第,4295,笫,16
5106,获,5081,荻,16
5691,谆,3175,淳,16
5693,谈,3168,淡,16
6333,铃,6302,钤,16
60,乖,61,乘,15
449,刁,448,刀,15
2074,扶,2083,抉,15
2128,拗,1069,坳,15
3063,洗,5650,诜,15
3066,洛,3081,洺,15
3175,淳,5691,谆,15
5019,茉,5038,茱,15
5621,设,2995,没,15
5639,译,3053,泽,15
5674,诵,3125,涌,15
5724,谩,3288,漫,15
6721,顽,6727,颃,15
446,函,445,凼,14
719,吹,735,呗,14
1027,土,598,卤,14
1888,恩,1857,思,14
2014,戈,1735,弋,14
2370,敞,2369,敝,14
2693,桶,2694,桷,14
3125,涌,5674,诵,14
3126,涎,5652,诞,14
3180,清,5676,请,14
3935,盹,4742,肫,14
4338,算,4332,箅,14
5041,茵,5118,菌,14
5596,订,2946,汀,14
5608,讯,2958,汛,14
5628,诅,3006,沮,14
5660,详,3058,洋,14
6277,钉,6280,钌,14
199,余,198,佘,13
1144,堤,2249,提,13
2918,氏,2919,氐,13
4264,竞,4265,竟,13
4741,肪,4734,肟,13
4775,胧,2461,昽,13
5034,茫,5039,茳,13
599,卦,6279,钋,12
1784,径,4499,经,12
2466,晌,798,响,12
2537,末,2536,未,12
2921,氓,3042,泯,12
2962,江,2950,汇,12
2967,汩,2966,汨,12
3006,沮,5628,诅,12
3123,消,3159,淌,12
3623,玫,3612,玖,12
3736,甘,1726,廿,12
3814,疽,3811,疸,12
4517,绢,3128,涓,12
4733,肝,2427,旰,12
4811,脯,2477,晡,12
5731,谰,3322,澜,12
153,仿,1777,彷,11
1467,小,1809,忄,11
1797,徙,1793,徒,11
1934,惊,1933,惇,11
2086,抒,2577,杼,11
2141,拨,2126,拔,11
2485,晴,4818,腈,11
2536,未,2537,末,11
2564,来,4677,耒,11
2642,栋,2644,栎,11
2945,氽,2949,汆,11
2977,沁,3022,泌,11
2999,沦,5618,论,11
3118,海,5671,诲,11
3481,父,1191,夂,11
5040,茴,4992,苘,11
5702,谒,3202,渴,11
6201,酒,3062,洒,11
6399,锋,6343,铎,11
57,乒,380,兵,10
129,仕,151,任,10
192,住,6615,隹,10
279,倍,262,信,10
370,入,372,八,10
578,升,1727,开,10
646,反,118,仅,10
701,吟,741,呤,10
1553,峡,1565,崃,10
1742,弛,6836,驰,10
1807,徽,1803,微,10
